contrast_type,evaluation_mode,candidate_pool,system,baseline,metric,n_queries,delta,ci_low,ci_high,p_value,p_value_corrected,significant,first_stage,reranker,depth
vs_baseline,job_to_talent,full,qwen8,bm25,ndcg@5,177,0.0955052309204047,0.04437681450021982,0.14672106785243644,0.0003,0.0039,True,,,
vs_baseline,job_to_talent,full,sheared_llama,bm25,ndcg@5,177,-0.02362780314455906,-0.05850451641428664,0.009727440012764918,0.1688,0.6752,False,,,
vs_baseline,job_to_talent,full,snowflake,bm25,ndcg@5,177,0.006280763034486559,-0.030653044437657845,0.04280801053284647,0.7304,1.0,False,,,
vs_baseline,job_to_talent,full,bge,bm25,hit@10,177,-0.0847457627118644,-0.1638418079096045,-0.005649717514124294,0.0415,0.249,False,,,
vs_baseline,job_to_talent,full,bge-base,bm25,hit@10,177,-0.1694915254237288,-0.23728813559322035,-0.1016949152542373,0.0,0.0,True,,,
vs_baseline,job_to_talent,full,bge-large,bm25,hit@10,177,-0.12429378531073447,-0.2033898305084746,-0.04519774011299435,0.0025,0.0225,True,,,
vs_baseline,job_to_talent,full,jina,bm25,hit@10,177,0.07909604519774012,0.0,0.15819209039548024,0.0583,0.249,False,,,
vs_baseline,job_to_talent,full,minilm,bm25,hit@10,177,0.02824858757062147,-0.04519774011299435,0.10734463276836158,0.5115,1.0,False,,,
vs_baseline,job_to_talent,full,mpnet,bm25,hit@10,177,0.01694915254237288,-0.062146892655367235,0.0903954802259887,0.7111,1.0,False,,,
vs_baseline,job_to_talent,full,qwen,bm25,hit@10,177,0.11299435028248588,0.03389830508474576,0.192090395480226,0.0063,0.0504,False,,,
vs_baseline,job_to_talent,full,qwen3_embedding,bm25,hit@10,177,0.11299435028248588,0.03389830508474576,0.192090395480226,0.0091,0.0637,False,,,
vs_baseline,job_to_talent,full,qwen3_embedding4,bm25,hit@10,177,0.1751412429378531,0.096045197740113,0.2542372881355932,0.0,0.0,True,,,
vs_baseline,job_to_talent,full,qwen3_embedding8,bm25,hit@10,177,0.14124293785310735,0.05649717514124294,0.22598870056497175,0.001,0.01,True,,,
vs_baseline,job_to_talent,full,qwen4,bm25,hit@10,177,0.1751412429378531,0.0903954802259887,0.2655367231638418,0.0003,0.0032999999999999995,True,,,
vs_baseline,job_to_talent,full,qwen8,bm25,hit@10,177,0.22598870056497175,0.14124293785310735,0.3107344632768362,0.0,0.0,True,,,
