system,evaluation_mode,candidate_pool,analysis,measure,unit,group,n,mean,ci_low,ci_high
mpnet,job_to_talent,observed,representation,share@10_minus_pool_share,query,Male,173,-0.028252572070206365,-0.04300074659456159,-0.013569285621678261
sheared_llama,talent_to_job,full,quality_of_service,recall@10,query,Female,79,0.2451476793248945,0.16075949367088607,0.3358649789029536
sheared_llama,talent_to_job,full,quality_of_service,recall@10,query,Male,142,0.2217136150234742,0.15962441314553988,0.28720950704225345
sheared_llama,talent_to_job,full,quality_of_service,ndcg@10,query,Female,79,0.1374149919474986,0.08655818920268399,0.19407498339015739
sheared_llama,talent_to_job,full,quality_of_service,ndcg@10,query,Male,142,0.12990871854956723,0.09152556772099799,0.17212575060680055
sheared_llama,talent_to_job,full,quality_of_service,recall@1,query,Female,79,0.04430379746835443,0.006329113924050633,0.08860759493670886
sheared_llama,talent_to_job,full,quality_of_service,recall@1,query,Male,142,0.04107981220657277,0.014084507042253521,0.07276995305164319
sheared_llama,talent_to_job,full,quality_of_service,mrr,query,Female,79,0.13301984695888203,0.0853141790623657,0.18650868529143338
sheared_llama,talent_to_job,full,quality_of_service,mrr,query,Male,142,0.14079738163643143,0.10255779650224457,0.18322404087539168
sheared_llama,job_to_talent,full,equal_opportunity,retrieved@1,relevant_pair,Female,122,0.0,0.0,0.0
sheared_llama,job_to_talent,full,equal_opportunity,retrieved@1,relevant_pair,Male,252,0.023809523809523808,0.007936507936507936,0.04365079365079365
sheared_llama,job_to_talent,full,equal_opportunity,retrieved@10,relevant_pair,Female,122,0.12295081967213115,0.06557377049180328,0.18032786885245902
sheared_llama,job_to_talent,full,equal_opportunity,retrieved@10,relevant_pair,Male,252,0.1111111111111111,0.07539682539682539,0.15079365079365079
sheared_llama,job_to_talent,full,equal_opportunity,mrr,relevant_pair,Female,122,0.03555543583839551,0.024738762747748506,0.04874194641826604
sheared_llama,job_to_talent,full,equal_opportunity,mrr,relevant_pair,Male,252,0.06255491937014789,0.042892203802917826,0.08413174215739427
sheared_llama,job_to_talent,full,representation,share@10_minus_pool_share,query,Female,177,-0.08577428940216983,-0.10727695732432929,-0.06516150803726982
sheared_llama,job_to_talent,full,representation,share@10_minus_pool_share,query,Male,177,0.08577428940216981,0.0651615080372698,0.10727695732432926
sheared_llama,talent_to_job,observed,quality_of_service,recall@10,query,Female,60,0.7761111111111111,0.6755416666666666,0.8677777777777779
sheared_llama,talent_to_job,observed,quality_of_service,recall@10,query,Male,108,0.7375514403292182,0.662034465020576,0.8057626028806584
sheared_llama,talent_to_job,observed,quality_of_service,ndcg@10,query,Female,60,0.5421832608524583,0.45531576513041727,0.6268022821947294
sheared_llama,talent_to_job,observed,quality_of_service,ndcg@10,query,Male,108,0.45893671257570834,0.40316780121298945,0.5139764546839191
sheared_llama,talent_to_job,observed,quality_of_service,recall@1,query,Female,60,0.25416666666666665,0.15416666666666667,0.35833333333333334
sheared_llama,talent_to_job,observed,quality_of_service,recall@1,query,Male,108,0.14074074074074072,0.0851851851851852,0.2
sheared_llama,talent_to_job,observed,quality_of_service,mrr,query,Female,60,0.49878945772013333,0.4076522270761519,0.5931685447836765
sheared_llama,talent_to_job,observed,quality_of_service,mrr,query,Male,108,0.41337038327454406,0.35196933736828984,0.47718209798540856
sheared_llama,job_to_talent,observed,equal_opportunity,retrieved@1,relevant_pair,Female,121,0.11570247933884298,0.05785123966942149,0.17355371900826447
sheared_llama,job_to_talent,observed,equal_opportunity,retrieved@1,relevant_pair,Male,250,0.124,0.084,0.164
sheared_llama,job_to_talent,observed,equal_opportunity,retrieved@10,relevant_pair,Female,121,0.6776859504132231,0.5950413223140496,0.7603305785123967
sheared_llama,job_to_talent,observed,equal_opportunity,retrieved@10,relevant_pair,Male,250,0.668,0.608,0.728
sheared_llama,job_to_talent,observed,equal_opportunity,mrr,relevant_pair,Female,121,0.27509950584355186,0.22458053386519847,0.3289365622881297
sheared_llama,job_to_talent,observed,equal_opportunity,mrr,relevant_pair,Male,250,0.28153397175764294,0.24570936797615803,0.31934492050341257
sheared_llama,job_to_talent,observed,representation,share@10_minus_pool_share,query,Female,173,0.015808769886519785,0.0028971936866074564,0.02851779125477623
sheared_llama,job_to_talent,observed,representation,share@10_minus_pool_share,query,Male,173,-0.015808769886519785,-0.02851779125477623,-0.002897193686607459
qwen3_embedding,talent_to_job,full,quality_of_service,recall@10,query,Female,79,0.39219409282700424,0.29008438818565396,0.4936708860759494
qwen3_embedding,talent_to_job,full,quality_of_service,recall@10,query,Male,142,0.321830985915493,0.251637323943662,0.39577464788732397
qwen3_embedding,talent_to_job,full,quality_of_service,ndcg@10,query,Female,79,0.2163920485814505,0.15617315886982752,0.2788282624113289
qwen3_embedding,talent_to_job,full,quality_of_service,ndcg@10,query,Male,142,0.20674025800823706,0.15631136468861984,0.26065553971105576
qwen3_embedding,talent_to_job,full,quality_of_service,recall@1,query,Female,79,0.04641350210970464,0.008438818565400843,0.0949367088607595
qwen3_embedding,talent_to_job,full,quality_of_service,recall@1,query,Male,142,0.09178403755868546,0.04859154929577465,0.1396713615023474
qwen3_embedding,talent_to_job,full,quality_of_service,mrr,query,Female,79,0.18447950254583662,0.12882440028338607,0.24611273399056907
qwen3_embedding,talent_to_job,full,quality_of_service,mrr,query,Male,142,0.20406113222595312,0.15558385822881218,0.25640727419433645
qwen3_embedding,job_to_talent,full,equal_opportunity,retrieved@1,relevant_pair,Female,122,0.040983606557377046,0.00819672131147541,0.08196721311475409
qwen3_embedding,job_to_talent,full,equal_opportunity,retrieved@1,relevant_pair,Male,252,0.05952380952380952,0.031746031746031744,0.09126984126984126
qwen3_embedding,job_to_talent,full,equal_opportunity,retrieved@10,relevant_pair,Female,122,0.22131147540983606,0.14754098360655737,0.29508196721311475
qwen3_embedding,job_to_talent,full,equal_opportunity,retrieved@10,relevant_pair,Male,252,0.15476190476190477,0.1111111111111111,0.1984126984126984
qwen3_embedding,job_to_talent,full,equal_opportunity,mrr,relevant_pair,Female,122,0.10303487574969894,0.06808267120770489,0.14392317506349392
qwen3_embedding,job_to_talent,full,equal_opportunity,mrr,relevant_pair,Male,252,0.10091451492885355,0.07206075252385022,0.1319022545237896
qwen3_embedding,job_to_talent,full,representation,share@10_minus_pool_share,query,Female,177,-0.02825030052224874,-0.05813568075720524,0.0034285287307330584
qwen3_embedding,job_to_talent,full,representation,share@10_minus_pool_share,query,Male,177,0.02825030052224873,-0.0034285287307330623,0.05813568075720524
qwen3_embedding,talent_to_job,observed,quality_of_service,recall@10,query,Female,60,0.7747222222222222,0.6775,0.8652777777777777
qwen3_embedding,talent_to_job,observed,quality_of_service,recall@10,query,Male,108,0.7455761316872427,0.6729938271604938,0.816358024691358
qwen3_embedding,talent_to_job,observed,quality_of_service,ndcg@10,query,Female,60,0.5156645745480427,0.4315858787039036,0.6000372461515417
qwen3_embedding,talent_to_job,observed,quality_of_service,ndcg@10,query,Male,108,0.4930634866275951,0.43198825285648274,0.5555046307790688
qwen3_embedding,talent_to_job,observed,quality_of_service,recall@1,query,Female,60,0.22694444444444445,0.1288888888888889,0.33166666666666667
qwen3_embedding,talent_to_job,observed,quality_of_service,recall@1,query,Male,108,0.19475308641975306,0.1283873456790124,0.2657484567901234
qwen3_embedding,talent_to_job,observed,quality_of_service,mrr,query,Female,60,0.4616016901361729,0.3707866757683568,0.5547370731120733
qwen3_embedding,talent_to_job,observed,quality_of_service,mrr,query,Male,108,0.45014682469470557,0.38405492758377524,0.5179095296342685
qwen3_embedding,job_to_talent,observed,equal_opportunity,retrieved@1,relevant_pair,Female,121,0.19008264462809918,0.12396694214876033,0.2644628099173554
qwen3_embedding,job_to_talent,observed,equal_opportunity,retrieved@1,relevant_pair,Male,250,0.164,0.12,0.212
qwen3_embedding,job_to_talent,observed,equal_opportunity,retrieved@10,relevant_pair,Female,121,0.7520661157024794,0.6694214876033058,0.8264462809917356
qwen3_embedding,job_to_talent,observed,equal_opportunity,retrieved@10,relevant_pair,Male,250,0.724,0.668,0.78
qwen3_embedding,job_to_talent,observed,equal_opportunity,mrr,relevant_pair,Female,121,0.35060143559500423,0.289505912856471,0.41276389080564047
qwen3_embedding,job_to_talent,observed,equal_opportunity,mrr,relevant_pair,Male,250,0.32038311430128225,0.27983258552550333,0.3617154602751672
qwen3_embedding,job_to_talent,observed,representation,share@10_minus_pool_share,query,Female,173,0.008711788512081764,-0.005600277586960044,0.02379818302984416
qwen3_embedding,job_to_talent,observed,representation,share@10_minus_pool_share,query,Male,173,-0.008711788512081762,-0.023798183029844162,0.005600277586960041
qwen8,talent_to_job,full,quality_of_service,recall@10,query,Female,79,0.38438818565400845,0.2818459915611815,0.4881856540084388
qwen8,talent_to_job,full,quality_of_service,recall@10,query,Male,142,0.37952716297786715,0.30775905432595574,0.4544810529845741
qwen8,talent_to_job,full,quality_of_service,ndcg@10,query,Female,79,0.252286839793119,0.18032204398928947,0.327806266639872
qwen8,talent_to_job,full,quality_of_service,ndcg@10,query,Male,142,0.26383350990651633,0.20898003720378605,0.32193061883519386
qwen8,talent_to_job,full,quality_of_service,recall@1,query,Female,79,0.08333333333333333,0.03164556962025317,0.14662447257383965
qwen8,talent_to_job,full,quality_of_service,recall@1,query,Male,142,0.13363514419852446,0.08332914151576126,0.1886359825620388
qwen8,talent_to_job,full,quality_of_service,mrr,query,Female,79,0.24370020279044632,0.17502603099563835,0.3162680831146281
qwen8,talent_to_job,full,quality_of_service,mrr,query,Male,142,0.27618843437674623,0.2202584601188663,0.3371938276718212
qwen8,job_to_talent,full,equal_opportunity,retrieved@1,relevant_pair,Female,122,0.04918032786885246,0.01639344262295082,0.09016393442622951
qwen8,job_to_talent,full,equal_opportunity,retrieved@1,relevant_pair,Male,252,0.05952380952380952,0.031746031746031744,0.09126984126984126
qwen8,job_to_talent,full,equal_opportunity,retrieved@10,relevant_pair,Female,122,0.23770491803278687,0.16393442622950818,0.319672131147541
qwen8,job_to_talent,full,equal_opportunity,retrieved@10,relevant_pair,Male,252,0.23412698412698413,0.18253968253968253,0.2857142857142857
qwen8,job_to_talent,full,equal_opportunity,mrr,relevant_pair,Female,122,0.10951392395230729,0.0709979568489831,0.15334015245671864
qwen8,job_to_talent,full,equal_opportunity,mrr,relevant_pair,Male,252,0.12023724777061581,0.09070924385994301,0.15193402510736162
qwen8,job_to_talent,full,representation,share@10_minus_pool_share,query,Female,177,-0.032393426699273226,-0.0584877792237105,-0.005310429658649065
qwen8,job_to_talent,full,representation,share@10_minus_pool_share,query,Male,177,0.03239342669927321,0.005310429658649054,0.058487779223710484
qwen8,talent_to_job,observed,quality_of_service,recall@10,query,Female,60,0.7775,0.6777708333333333,0.871673611111111
qwen8,talent_to_job,observed,quality_of_service,recall@10,query,Male,108,0.7672178130511463,0.6959872868900645,0.8335914535567313
qwen8,talent_to_job,observed,quality_of_service,ndcg@10,query,Female,60,0.542275490061418,0.4522155951654325,0.6284129340761111
qwen8,talent_to_job,observed,quality_of_service,ndcg@10,query,Male,108,0.5367220262683328,0.47789447817356,0.596408441574338
qwen8,talent_to_job,observed,quality_of_service,recall@1,query,Female,60,0.2575,0.16166666666666665,0.35888888888888887
qwen8,talent_to_job,observed,quality_of_service,recall@1,query,Male,108,0.22971781305114639,0.16203703703703703,0.3022486772486772
qwen8,talent_to_job,observed,quality_of_service,mrr,query,Female,60,0.5059867475516969,0.4104667989616465,0.6033058522088557
qwen8,talent_to_job,observed,quality_of_service,mrr,query,Male,108,0.5176243842093515,0.45006130889505075,0.5867345568979555
qwen8,job_to_talent,observed,equal_opportunity,retrieved@1,relevant_pair,Female,121,0.2066115702479339,0.14049586776859505,0.2809917355371901
qwen8,job_to_talent,observed,equal_opportunity,retrieved@1,relevant_pair,Male,250,0.192,0.144,0.24
qwen8,job_to_talent,observed,equal_opportunity,retrieved@10,relevant_pair,Female,121,0.71900826446281,0.6363636363636364,0.7933884297520661
qwen8,job_to_talent,observed,equal_opportunity,retrieved@10,relevant_pair,Male,250,0.764,0.712,0.816
qwen8,job_to_talent,observed,equal_opportunity,mrr,relevant_pair,Female,121,0.37585604764678227,0.31481629003194034,0.43740628864865394
qwen8,job_to_talent,observed,equal_opportunity,mrr,relevant_pair,Male,250,0.3501502757927264,0.30915736850006764,0.39315991406981426
qwen8,job_to_talent,observed,representation,share@10_minus_pool_share,query,Female,173,-0.0012317842927627217,-0.01348803298073761,0.011772996763274299
qwen8,job_to_talent,observed,representation,share@10_minus_pool_share,query,Male,173,0.0012317842927627167,-0.011772996763274304,0.013488032980737601
